title,totalScore,url,reviewsCount
Kopi Toko Djawa (Braga),"4,6",https://www.google.com/maps/search/?api=1&query=Kopi%20Toko%20Djawa%20(Braga)&query_place_id=ChIJfy3R1z3naC4RviKS1hUAqFU,4421
Good Things Coffee Roasters,"4,9",https://www.google.com/maps/search/?api=1&query=Good%20Things%20Coffee%20Roasters&query_place_id=ChIJSWl6cQ3naC4R_t1B_lC99xI,234
Warung Kopi Purnama,"4,6",https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Purnama&query_place_id=ChIJE1wx6yTmaC4R0Rr5BuyFfwk,8007
Sawo Coffee and Roastery,"4,6",https://www.google.com/maps/search/?api=1&query=Sawo%20Coffee%20and%20Roastery&query_place_id=ChIJcUPCE-3naC4R1i-qLUBdQZs,769
Braga Art Cafe,"4,5",https://www.google.com/maps/search/?api=1&query=Braga%20Art%20Cafe&query_place_id=ChIJx_9PpDrmaC4R1aumihUWviU,1048
1994 Coffee and Creative Space Naripan,"4,8",https://www.google.com/maps/search/?api=1&query=1994%20Coffee%20and%20Creative%20Space%20Naripan&query_place_id=ChIJJRfsgtPnaC4RZLgK3pZvf4E,574
Koffie braga,"4,6",https://www.google.com/maps/search/?api=1&query=Koffie%20braga&query_place_id=ChIJG7d5GyLnaC4RXCAZA0SYqT0,786
Terra Coffee & Space,"4,8",https://www.google.com/maps/search/?api=1&query=Terra%20Coffee%20%26%20Space&query_place_id=ChIJRUNAZgDnaC4RGlRLb3abXXw,788
kopi senja cikapundung,"4,5",https://www.google.com/maps/search/?api=1&query=kopi%20senja%20cikapundung&query_place_id=ChIJ0z5TbSXmaC4RqYKnE5eHNdY,238
Jabarano Coffee,"4,7",https://www.google.com/maps/search/?api=1&query=Jabarano%20Coffee&query_place_id=ChIJM0e-bD3naC4Rxc9yoI2uiLE,3697
Populair Hostel Braga,"4,4",https://www.google.com/maps/search/?api=1&query=Populair%20Hostel%20Braga&query_place_id=ChIJR5SCqjHnaC4RrJwVHdgyYjA,166
HOTEL LENGKONG 2,"4,4",https://www.google.com/maps/search/?api=1&query=HOTEL%20LENGKONG%202&query_place_id=ChIJ2YNLTSjmaC4RqlMGX3dHRzQ,350
Hotel Daily Inn Bandung syariah,"4,1",https://www.google.com/maps/search/?api=1&query=Hotel%20Daily%20Inn%20Bandung%20syariah&query_place_id=ChIJBZahlgTnaC4ROYD3K2Y2E68,1032
OYO 249 Hotel Astria Graha,"3,9",https://www.google.com/maps/search/?api=1&query=OYO%20249%20Hotel%20Astria%20Graha&query_place_id=ChIJEfs2syjmaC4RyMV4H1WL2l8,1096
Blue Doors,"4,6",https://www.google.com/maps/search/?api=1&query=Blue%20Doors&query_place_id=ChIJ_1ZGCcznaC4R4QI-bFAYN0U,2621
Preanger Restaurant,"4,7",https://www.google.com/maps/search/?api=1&query=Preanger%20Restaurant&query_place_id=ChIJNxvsqjrmaC4RxcNddIhDE3w,92
Nasi goreng kedai mang aden- Jl. Asia Afrika,"3,7",https://www.google.com/maps/search/?api=1&query=Nasi%20goreng%20kedai%20mang%20aden-%20Jl.%20Asia%20Afrika&query_place_id=ChIJ4xESHlTnaC4RIIjzMUitdKk,3
Myloc Coffee & Cafe,"4,7",https://www.google.com/maps/search/?api=1&query=Myloc%20Coffee%20%26%20Cafe&query_place_id=ChIJZ0XC2pXnaC4RC8ojh3YLmdA,1141
Bahagia Kopi - Braga,"4,8",https://www.google.com/maps/search/?api=1&query=Bahagia%20Kopi%20-%20Braga&query_place_id=ChIJXxVzMgDnaC4RG29OSdmY8l0,989
Anatomi Coffee & Space,"4,8",https://www.google.com/maps/search/?api=1&query=Anatomi%20Coffee%20%26%20Space&query_place_id=ChIJLQFDWqnnaC4Ro0U7UVviQIE,157
Garden Coffee Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=Garden%20Coffee%20Bandung&query_place_id=ChIJVSGbbfzmaC4RDj7-jgKOIps,948
Tanatap Coffee Braga,"4,8",https://www.google.com/maps/search/?api=1&query=Tanatap%20Coffee%20Braga&query_place_id=ChIJx9zO8NbnaC4ReqlRTABv484,1437
Jurnal Risa Coffee Braga,"4,7",https://www.google.com/maps/search/?api=1&query=Jurnal%20Risa%20Coffee%20Braga&query_place_id=ChIJ17Kj2FjnaC4RJlWz06xY4lc,3590
Golden Black Coffee - Bandung,"4,7",https://www.google.com/maps/search/?api=1&query=Golden%20Black%20Coffee%20-%20Bandung&query_place_id=ChIJvxeFZtLnaC4R1WrjCPbRSyk,103
BUMI Experience | Tirtayasa,5,https://www.google.com/maps/search/?api=1&query=BUMI%20Experience%20%7C%20Tirtayasa&query_place_id=ChIJdal9RmTnaC4Rn5aT6Uo7yms,182
Sidewalk Restaurant,"4,8",https://www.google.com/maps/search/?api=1&query=Sidewalk%20Restaurant&query_place_id=ChIJuYXtRvznaC4RD00f-SJYa5g,12
Kamar Tujuh Koffie,"4,6",https://www.google.com/maps/search/?api=1&query=Kamar%20Tujuh%20Koffie&query_place_id=ChIJQz9OlUvmaC4RP9i1Dh4v6UA,869
East Indies Coffee,"4,8",https://www.google.com/maps/search/?api=1&query=East%20Indies%20Coffee&query_place_id=ChIJB8weiIDnaC4RBuSVTx4hw6Q,102
Geo Edu Coffee,5,https://www.google.com/maps/search/?api=1&query=Geo%20Edu%20Coffee&query_place_id=ChIJmxypmFnnaC4RXbU-vp-n-YQ,9
Kumari (Bake and Brew),"4,8",https://www.google.com/maps/search/?api=1&query=Kumari%20(Bake%20and%20Brew)&query_place_id=ChIJNUCImqTnaC4RfXva_A2bw5s,1771
Cupola Coffee Shop,"4,4",https://www.google.com/maps/search/?api=1&query=Cupola%20Coffee%20Shop&query_place_id=ChIJD6pNcTfnaC4RhIUc5l7xxVU,346
STARBUCKS • Asia Afrika,"4,6",https://www.google.com/maps/search/?api=1&query=STARBUCKS%20%E2%80%A2%20Asia%20Afrika&query_place_id=ChIJyfEIYy_maC4RfzCJa1AcgcI,2711
Didago Cafe,"4,5",https://www.google.com/maps/search/?api=1&query=Didago%20Cafe&query_place_id=ChIJeQOnSPnmaC4Ra4SGZ-V4gfc,1091
Ambigu Coffee,"4,8",https://www.google.com/maps/search/?api=1&query=Ambigu%20Coffee&query_place_id=ChIJ61kKpoDnaC4R8BgatytGkkI,95
Gedung Asia Afrika,"4,7",https://www.google.com/maps/search/?api=1&query=Gedung%20Asia%20Afrika&query_place_id=ChIJxTdMeo_naC4R5PMK3zXKELg,89
One Eighty Coffee and Music,"4,6",https://www.google.com/maps/search/?api=1&query=One%20Eighty%20Coffee%20and%20Music&query_place_id=ChIJq8Fn4VDmaC4RsdHmpMJbw9w,9087
Simpang Braga,"4,7",https://www.google.com/maps/search/?api=1&query=Simpang%20Braga&query_place_id=ChIJ8wgrQzXnaC4R0nS-Ot9G5Uc,54
Mural Asia Afrika,"4,8",https://www.google.com/maps/search/?api=1&query=Mural%20Asia%20Afrika&query_place_id=ChIJwVQ3OfznaC4R9L6lplxB27Q,21
Bandung Lautan Api Monument,"4,3",https://www.google.com/maps/search/?api=1&query=Bandung%20Lautan%20Api%20Monument&query_place_id=ChIJ0Qbi6JvoaC4RLqQcvco4Gj8,1037
Jala Kopi,"4,6",https://www.google.com/maps/search/?api=1&query=Jala%20Kopi&query_place_id=ChIJ-chdNLbnaC4R-SghlZuAUQQ,196
Tugu Simpang Lima,"4,6",https://www.google.com/maps/search/?api=1&query=Tugu%20Simpang%20Lima&query_place_id=ChIJ52QtcSzmaC4Rg0n9q_kerw8,565
Gedung Merdeka,"4,8",https://www.google.com/maps/search/?api=1&query=Gedung%20Merdeka&query_place_id=ChIJEQaYcq3naC4RnFn8HGDTl7Y,378
